icao_code,iata_code,latitude,longitude
KBOS,BOS,42.36197,-71.0079
KBDL,BDL,41.938555,-72.688016
KPVD,PVD,41.725038,-71.425668
KPWM,PWM,43.646198,-70.309303
KLAX,LAX,33.942501,-118.407997
KSNA,SNA,33.675063,-117.869281
PANC,ANC,61.179004,-149.992561
KSFO,SFO,37.619806,-122.374821
KJFK,JFK,40.639447,-73.779317
EGLL,LHR,51.470748,-0.459909
LFPG,CDG,49.00896,2.554117
EHAM,AMS,52.308601,4.76389
EDDF,FRA,50.026706,8.55835
OMDB,DXB,25.24979,55.370992
OTHH,DOH,25.273056,51.608056
RJAA,NRT,35.76858,140.388714
RJTT,HND,35.549678,139.786958
WSSS,SIN,1.35019,103.994003
VHHH,HKG,22.31184,113.914862
YSSY,SYD,-33.946098,151.177002
RKSI,ICN,37.469101,126.450996
LEMD,MAD,40.493407,-3.572249
LIRF,FCO,41.804532,12.251998
CYYZ,YYZ,43.675935,-79.629421
SBGR,GRU,-23.431274,-46.469954
VIDP,DEL,28.55563,77.09519
ZBAA,PEK,40.077349,116.596702
ZSPD,PVG,31.1434,121.805
MMMX,MEX,19.435822,-99.07033
